text_id,text,date_est,business_hours
170,"RT @GOPChairwoman: If 2020 Democrats actually cared about hardworking Americans, they would not be touting a socialist agenda that threaten…",2020-01-15T06:04:10Z,non-business hours
171,RT @kilmeade: .@jockowillink says President @realDonaldTrump's gamble ordering the strike that killed Soleimani was a brilliant move that k…,2020-01-15T05:54:27Z,non-business hours
172,RT @DanScavino: ⚠️#TDSWarning🤯#KAG2020🇺🇸 https://t.co/y4ymeFAmfe,2020-03-08T03:45:09Z,non-business hours
173,THANK YOU MICHAEL! @bittyandbeaus https://t.co/KVXVcdO79E,2020-04-29T02:39:07Z,non-business hours
174,"WOW! Thank you, just landed, see everyone soon! #KAG2020🇺🇸
https://t.co/QGdfIsOp4u",2020-03-02T23:06:03Z,business hours
175,"No matter what you give to the Democrats, in the end, they will NEVER be satisfied. In the House, they gave us NOTHING!",2020-02-01T00:13:54Z,business hours
176,Off to North Carolina! https://t.co/dreH1rw3sz,2020-02-07T16:34:58Z,business hours
177,RT @GeraldoRivera: Trump-haters clearly  frustrated that the American people-many of whom did not vote for him-approve of the epic job @rea…,2020-03-28T04:45:15Z,non-business hours
178,"Congratulations to @loudobbs, Number One. Lou has shown the Fake News what happens when you cover “America’s Greatest President”  fairly &amp; objectively! #MAGA #KAG https://t.co/68b0vPvmNd",2020-02-01T13:14:30Z,non-business hours
179,Iowa and New Hampshire will not be moved from the Primary Schedule as long as I am President. Great tradition!,2020-02-07T16:36:42Z,business hours
